,loss,accuracy
0,0.7353524565696716,0.752909243106842
1,0.3503480851650238,0.8871217966079712
2,0.2981250584125519,0.9061287641525269
3,0.24763192236423492,0.9197052121162415
4,0.2334308922290802,0.9235841631889343
5,0.20515047013759613,0.94142746925354
6,0.1745738834142685,0.9460822343826294
7,0.1738232523202896,0.9445306658744812
8,0.17877796292304993,0.9429790377616882
9,0.16293631494045258,0.9484096169471741
10,0.13815881311893463,0.9569433927536011
11,0.13300584256649017,0.9596586227416992
12,0.1491747498512268,0.958107054233551
13,0.14602398872375488,0.9592707753181458
14,0.1622564196586609,0.9546160101890564
15,0.1639668345451355,0.9519007205963135
16,0.11997061222791672,0.9604344367980957
17,0.12310654670000076,0.9635376334190369
18,0.09737950563430786,0.9681923985481262
19,0.12294161319732666,0.9592707753181458
20,0.09072443097829819,0.969356119632721
21,0.08686979115009308,0.9716835021972656
22,0.08110901713371277,0.974786639213562
23,0.09228017926216125,0.9685803055763245
24,0.08573378622531891,0.9724592566490173
25,0.08428240567445755,0.976338267326355
26,0.08074596524238586,0.9709076881408691
27,0.07363471388816833,0.9767261147499084
28,0.06442388147115707,0.976338267326355
29,0.0808296948671341,0.9751745462417603
30,0.10654586553573608,0.9732350707054138
31,0.0723280981183052,0.9767261147499084
32,0.07149238884449005,0.9778898358345032
33,0.06167946383357048,0.9806051254272461
34,0.058962151408195496,0.9825446009635925
35,0.07961505651473999,0.974786639213562
36,0.07504123449325562,0.9767261147499084
37,0.07749169319868088,0.9751745462417603
38,0.06002359464764595,0.984484076499939
39,0.09011493623256683,0.9767261147499084
40,0.08236836642026901,0.9751745462417603
41,0.06867662817239761,0.981768786907196
42,0.0890384316444397,0.9775019288063049
43,0.0744304433465004,0.9798293113708496
44,0.06501828879117966,0.9840961694717407
45,0.06757540255784988,0.9829325079917908
46,0.0793711319565773,0.9775019288063049
47,0.07008573412895203,0.9759503602981567
48,0.05593461915850639,0.9790535569190979
49,0.04782184585928917,0.9829325079917908
