CO,T,CS,FS
0,0,0,301.94
0,100,0,316.7
0,200,0,
0,300,0,282.32
0,400,0,
0,500,0,
0,600,0,235.45
0,700,0,
0,800,0,
0,900,0,194.43
0,1000,0,
0,1100,0,
0,1200,0,
0,0,0.025,144.424
0,100,0.025,120.082
0,200,0.025,
0,300,0.025,114.465
0,400,0.025,
0,500,0.025,
0,600,0.025,108.962
0,700,0.025,
0,800,0.025,
0,900,0.025,95.193
0,1000,0.025,
0,1100,0.025,
0,1200,0.025,
0,0,0.05,127.206
0,100,0.05,86.53
0,200,0.05,
0,300,0.05,89.974
0,400,0.05,
0,500,0.05,
0,600,0.05,78.006
0,700,0.05,
0,800,0.05,
0,900,0.05,77.107
0,1000,0.05,
0,1100,0.05,
0,1200,0.05,
0,0,0.1,82.7
0,100,0.1,77.27
0,200,0.1,
0,300,0.1,61.87
0,400,0.1,
0,500,0.1,
0,600,0.1,58.81
0,700,0.1,
0,800,0.1,
0,900,0.1,55.42
0,1000,0.1,
0,1100,0.1,
0,1200,0.1,
0,0,0.2,68.7
0,100,0.2,56.14
0,200,0.2,
0,300,0.2,52.59
0,400,0.2,
0,500,0.2,
0,600,0.2,49.28
0,700,0.2,
0,800,0.2,
0,900,0.2,45.46
0,1000,0.2,
0,1100,0.2,
0,1200,0.2,35.7
0,0,0.3,50.82
0,100,0.3,47.51
0,200,0.3,
0,300,0.3,45.12
0,400,0.3,
0,500,0.3,
0,600,0.3,42.02
0,700,0.3,
0,800,0.3,
0,900,0.3,38.47
0,1000,0.3,
0,1100,0.3,
0,1200,0.3,
0,0,0.4,45.73
0,100,0.4,43.46
0,200,0.4,
0,300,0.4,41.01
0,400,0.4,
0,500,0.4,
0,600,0.4,37.74
0,700,0.4,
0,800,0.4,
0,900,0.4,34.97
0,1000,0.4,
0,1100,0.4,
0,1200,0.4,
0,0,0.5,39.63
0,100,0.5,36.86
0,200,0.5,
0,300,0.5,34.2
0,400,0.5,
0,500,0.5,
0,600,0.5,32.43
0,700,0.5,
0,800,0.5,
0,900,0.5,30.68
0,1000,0.5,
0,1100,0.5,
0,1200,0.5,
0,0,0.6,32.73
0,100,0.6,30.39
0,200,0.6,
0,300,0.6,28.89
0,400,0.6,
0,500,0.6,
0,600,0.6,26.94
0,700,0.6,
0,800,0.6,
0,900,0.6,28.65
0,1000,0.6,
0,1100,0.6,
0,1200,0.6,25.88
0,0,0.7,26.21
0,100,0.7,24.16
0,200,0.7,
0,300,0.7,22.54
0,400,0.7,
0,500,0.7,
0,600,0.7,20.85
0,700,0.7,
0,800,0.7,
0,900,0.7,19.56
0,1000,0.7,
0,1100,0.7,
0,1200,0.7,
0,0,0.8,19.99
0,100,0.8,17.63
0,200,0.8,
0,300,0.8,16.07
0,400,0.8,
0,500,0.8,
0,600,0.8,14.97
0,700,0.8,
0,800,0.8,
0,900,0.8,14.05
0,1000,0.8,
0,1100,0.8,
0,1200,0.8,
0,660,0.78,15.85
0,33,0.13,72.41
0,120,0.47,46.34
0,360,0.58,29.68
